days_to_departure,seats_remaining,historical_demand,competitor_price,booking_velocity,is_weekend,flight_capacity,occupied_seats,occupancy_rate,ticket_price
39,38,51,8030,30,1,150,112,0.7466666667,10783
52,96,30,8232,1,1,180,84,0.4666666667,8341
29,99,64,7250,11,0,180,81,0.45,9062
15,76,52,6657,7,0,220,144,0.6545454545,9802
43,43,60,8183,17,1,150,107,0.7133333333,10643
8,158,27,3843,27,1,180,22,0.1222222222,8253
21,166,30,8913,20,1,180,14,0.07777777778,9056
39,122,70,8166,24,1,180,58,0.3222222222,9396
58,7,60,4110,18,1,220,213,0.9681818182,9769
19,127,36,5227,22,0,180,53,0.2944444444,8298
23,54,95,5790,29,0,180,126,0.7,11322
11,16,65,5354,22,0,150,134,0.8933333333,10804
11,58,51,6108,12,1,150,92,0.6133333333,10531
24,137,98,8555,9,1,180,43,0.2388888889,10500
53,61,99,5579,5,1,180,119,0.6611111111,9322
36,149,73,5824,10,1,150,1,0.006666666667,7765
40,116,39,8127,4,0,220,104,0.4727272727,8256
24,51,52,4677,5,0,220,169,0.7681818182,9223
3,155,93,4591,28,1,220,65,0.2954545455,10812
22,89,59,8479,28,0,220,131,0.5954545455,10636
53,146,51,6291,10,0,220,74,0.3363636364,7315
2,70,21,5249,11,1,220,150,0.6818181818,9646
24,79,52,6175,21,1,220,141,0.6409090909,10798
44,107,96,4281,24,1,220,113,0.5136363636,10159
30,170,49,6548,10,1,150,-20,-0.1333333333,7659
38,42,52,5605,28,1,220,178,0.8090909091,10312
2,54,96,7367,8,1,220,166,0.7545454545,12330
60,102,45,8476,2,0,220,118,0.5363636364,8345
21,86,41,8042,23,0,180,94,0.5222222222,9922
33,34,85,5613,8,1,150,116,0.7733333333,10489
12,83,57,8873,16,0,150,67,0.4466666667,10632
58,95,65,7470,27,1,150,55,0.3666666667,8742
22,56,34,5491,22,1,220,164,0.7454545455,10571
44,170,63,4567,5,1,220,50,0.2272727273,7615
25,83,68,5077,27,1,180,97,0.5388888889,10002
49,34,94,4511,25,0,150,116,0.7733333333,9642
27,110,80,5774,29,1,220,110,0.5,10337
59,55,86,8369,3,0,150,95,0.6333333333,8878
42,85,25,5314,12,1,180,95,0.5277777778,8855
28,137,28,5926,13,1,180,43,0.2388888889,8400
60,33,25,8797,13,1,180,147,0.8166666667,9820
16,136,92,7902,10,0,150,14,0.09333333333,9442
15,142,51,8374,4,1,220,78,0.3545454545,9805
47,149,60,6051,9,1,220,71,0.3227272727,8350
51,78,95,7157,22,1,180,102,0.5666666667,10185
44,21,27,3507,24,0,220,199,0.9045454545,8897
55,88,91,6055,23,0,180,92,0.5111111111,8813
52,73,69,3975,27,0,150,77,0.5133333333,8771
57,38,81,8916,2,1,180,142,0.7888888889,9775
3,10,81,5711,19,0,150,140,0.9333333333,11581
37,57,26,3984,1,1,180,123,0.6833333333,8857
51,130,94,8500,25,0,220,90,0.4090909091,9768
